Property,Beds,Showers,Garages,Area,Description,Price,Currency,Rent Period,Url,Address,Time Posted
apartment-for-rent-at-East-Legon-101322?y=63823746,2,2,2,300 m2,"Available to let in east legon is this ultra modern 2 bedroom ensuite plus guest washroom, comes gated with maximum security, air conditioners in all rooms, fans, fitted kitchen cabinets, wardrobes, shower, pop ceiling, neatly tiled and spacious for your comfort. Kindly contact Treasure Logistics now it's available",500,$,month,https://meqasa.com/apartment-for-rent-at-East-Legon-101322?y=63823746,East Legon,"November 11, 2019"
house-for-rent-at-Amrahia-080665?y=63823746,5,5,0,na,"A 5 bedroom house in Amrahia. It has 5 bathrooms, a nicely fitted kitchen, spacious compound with a lovely lawn area and a boys quarters. Water and electricity also available. It has a lovely view of the Peduase Lodge and Aburi mountains. Call now for more details and viewings!!!",,na,request],https://meqasa.com/house-for-rent-at-Amrahia-080665?y=63823746,Amrahia,"November 11, 2019"
apartment-for-rent-at-Dzorwulu-101833?y=63823746,2,2,2,na,"We present to you this beautiful property in a  good shape located in good environment.

The rooms have ceiling fans,it has ample parking and 24 hr security.

It is located about 10 minutes away from the Airport and 20 minutes from the central business district",1600,GH₵,month,https://meqasa.com/apartment-for-rent-at-Dzorwulu-101833?y=63823746,Dzorwulu,"November 11, 2019"
commercial space-for-rent-at-Tema-081254?y=63823746,,,0,na,"Quick Fix Property Management Ltd presents

Dennis House. A large commercial property located on the Harbour Road in Tema. Rent is $19 per square meter and the service charge is $3 per square meter.

We are running a promotion of 1 month free rent for any long lease on our commercial properties. Call now for more details!!!",192,$,month,https://meqasa.com/commercial space-for-rent-at-Tema-081254?y=63823746,Tema,"November 11, 2019"
apartment-for-rent-at-East-Legon-ARS-Area-104988?y=63823746,2,2,1,180 m2,"This is a new apartment block located in the East Legon ARS area in close proximity to the Institute of Local Government Studies just off the boundary road. There is 24-hour security, pipe borne water, water reservoirs and parking available.Each apartment has two bedrooms but also has an additional room that can be used for a home office, study, closet, library and the like. The area is very developed so safety is assured. Call 0553064043 if interested.",2200,GH₵,month,https://meqasa.com/apartment-for-rent-at-East-Legon-ARS-Area-104988?y=63823746,East Legon ARS Area,"November 11, 2019"
house-for-rent-at-Osu-101329?y=63823746,3,2,0,na,"Three bedroom house,living room,kitchen 2 bath ,beautiful garden and a spacious yard for rent at Osu ringway Estate for $4000 negotiable.It is an excellent space for office or residence.contact us for viewing of the property.",4000,$,month,https://meqasa.com/house-for-rent-at-Osu-101329?y=63823746,Osu,"November 11, 2019"
commercial space-for-rent-at-Airport-Residential-Area-081251?y=63823746,,,0,na,"Quick Fix Property Management Ltd. Presents

Emerald House. Located in Airport Area is this commercial property renting at $29 per square meter with a service charge of $4 per square meter.

We are running a promotion of 1 month free rent for any long lease on our commercial properties",292,$,month,https://meqasa.com/commercial space-for-rent-at-Airport-Residential-Area-081251?y=63823746,Airport Residential Area,"November 11, 2019"
house-for-rent-at-Community-Eighteen-100577?y=63823746,4,3,1,na,"This beautiful 4 bedroom house with 3 washrooms is up for rent in 18 Regimanuel. It is located in a very serene estate and very good for residential purposes. There is easy access to the motorway also. The house comes with air conditioners in all rooms, 2 master bedrooms and a shared washroom for the other two. Also, there is a roof terrace and a garage. The entire compound is paved, comes with an electric fence and a motorized gate . There is also CCTV on the entire compound for extra security. Contact owner now if interested in this property for viewing and more information.",3000,$,month,https://meqasa.com/house-for-rent-at-Community-Eighteen-100577?y=63823746,Community Eighteen,"November 11, 2019"
house-for-rent-at-Adenta-105095?y=63823746,7,8,0,na,"Suitably located at Adenta is this amazing 7 bedrooms all en suite house with 8 bathrooms

This luxurious property is just 25 mins from the airport and comes with a water storage tank, standby generator and has a parking space for about 25 cars

Kindly contact owner now for further details and viewing",3000,$,month,https://meqasa.com/house-for-rent-at-Adenta-105095?y=63823746,Adenta,"November 11, 2019"
apartment-for-rent-at-Roman-Ridge-081250?y=63823746,3,3,0,na,"Quick Fix Property Management Ltd. presents

Elite Apartment. Located in Roman Ridge. It has spacious and en suite 3 bedrooms, with modern bathroom facilities, a nicely fitted kitchen, wardrobes in the bedrooms, ACs and more. Compound is very spacious with lots of parking spaces, a pool and a lovely lawn.

Property is very secure and has a stand by generator also. Only utility tenant pays is prepaid electricity. All other charges are absorbed in the service charge.

Call now for viewings!!!",1200,$,month,https://meqasa.com/apartment-for-rent-at-Roman-Ridge-081250?y=63823746,Roman Ridge,"November 11, 2019"
