Property,Beds,Showers,Garages,Price,Currency,Rent Period,Url
office-for-rent-at-Tema-Community-1-085475?y=2006959929,,,,802,GH₵,month,https://meqasa.com/office-for-rent-at-Tema-Community-1-085475?y=2006959929
apartment-for-rent-at-North-Legon-102046?y=2006959929,3,4,3,800,$,month,https://meqasa.com/apartment-for-rent-at-North-Legon-102046?y=2006959929
apartment-for-rent-at--Osu-096661?y=2006959929,2,2,1,1800,$,month,https://meqasa.com/apartment-for-rent-at--Osu-096661?y=2006959929
house-for-rent-at-Trassaco--033763?y=2006959929,6,6,2,5000,$,month,https://meqasa.com/house-for-rent-at-Trassaco--033763?y=2006959929
house-for-rent-at-East-Legon-102265?y=2006959929,6,4,1,500,$,week,https://meqasa.com/house-for-rent-at-East-Legon-102265?y=2006959929
"house-for-rent-at-Dovehill-Estate,-Spintex-Road-101793?y=2006959929",4,5,1,1800,$,month,"https://meqasa.com/house-for-rent-at-Dovehill-Estate,-Spintex-Road-101793?y=2006959929"
apartment-for-rent-at-Airport-Residential-Area-029818?y=2006959929,3,3,180 m2,1900,$,month,https://meqasa.com/apartment-for-rent-at-Airport-Residential-Area-029818?y=2006959929
apartment-for-rent-at-East-Airport-105208?y=2006959929,1,1,,1000,$,month,https://meqasa.com/apartment-for-rent-at-East-Airport-105208?y=2006959929
house-for-rent-at-ABELEMKPE--103981?y=2006959929,8,8,,3500,$,month,https://meqasa.com/house-for-rent-at-ABELEMKPE--103981?y=2006959929
apartment-for-rent-at-East-Legon-097708?y=2006959929,2,3,,2500,GH₵,month,https://meqasa.com/apartment-for-rent-at-East-Legon-097708?y=2006959929
office-for-rent-at-East-Legon-103618?y=2006959929,,,,1500,$,month,https://meqasa.com/office-for-rent-at-East-Legon-103618?y=2006959929
house-for-rent-at-Spintex-105146?y=2006959929,3,2,1,1500,$,month,https://meqasa.com/house-for-rent-at-Spintex-105146?y=2006959929
apartment-for-rent-at-Cantonment-099560?y=2006959929,1,1,1,2500,$,month,https://meqasa.com/apartment-for-rent-at-Cantonment-099560?y=2006959929
house-for-rent-at-East-Legon-102986?y=2006959929,3,2,190 m2,3300,$,month,https://meqasa.com/house-for-rent-at-East-Legon-102986?y=2006959929
house-for-rent-at-Pokuase-086724?y=2006959929,6,3,1,2000,GH₵,month,https://meqasa.com/house-for-rent-at-Pokuase-086724?y=2006959929
house-for-rent-at-Madina-101181?y=2006959929,4,2,,2000,GH₵,month,https://meqasa.com/house-for-rent-at-Madina-101181?y=2006959929
apartment-for-rent-at-Kwabenya-076929?y=2006959929,2,2,,500,$,month,https://meqasa.com/apartment-for-rent-at-Kwabenya-076929?y=2006959929
commercial space-for-rent-at-Madina-zongo-junction-103886?y=2006959929,8,2,2,62,$,month,https://meqasa.com/commercial space-for-rent-at-Madina-zongo-junction-103886?y=2006959929
apartment-for-rent-at-Airport-Residential-Area-089227?y=2006959929,2,2,,2500,$,month,https://meqasa.com/apartment-for-rent-at-Airport-Residential-Area-089227?y=2006959929
shop-for-rent-at-Adjirigano-School-junction-103431?y=2006959929,,,,800,GH₵,month,https://meqasa.com/shop-for-rent-at-Adjirigano-School-junction-103431?y=2006959929
house-for-rent-at-Abelemkpe-104165?y=2006959929,8,8,,3500,$,month,https://meqasa.com/house-for-rent-at-Abelemkpe-104165?y=2006959929
"house-for-rent-at-Accra,Mariville-Home-in-Gated-community-off-Spintex-road-039781?y=2006959929",5,5,2,1000,$,month,"https://meqasa.com/house-for-rent-at-Accra,Mariville-Home-in-Gated-community-off-Spintex-road-039781?y=2006959929"
house-for-rent-at-6-Bedroom-house-to-let@eastlegon-083772?y=2006959929,6,6,5,3500,$,month,https://meqasa.com/house-for-rent-at-6-Bedroom-house-to-let@eastlegon-083772?y=2006959929
apartment-for-rent-at-Mc-Carthy-Hill-103651?y=2006959929,2,2,2,500,$,month,https://meqasa.com/apartment-for-rent-at-Mc-Carthy-Hill-103651?y=2006959929
house-for-rent-at-Old-Ashongman-104529?y=2006959929,5,5,,700,$,month,https://meqasa.com/house-for-rent-at-Old-Ashongman-104529?y=2006959929
office-for-rent-at-North-Ridge-103838?y=2006959929,,,650 m2,202,$,month,https://meqasa.com/office-for-rent-at-North-Ridge-103838?y=2006959929
apartment-for-rent-at-East-Legon-Hills-093275?y=2006959929,2,2,2,999,$,month,https://meqasa.com/apartment-for-rent-at-East-Legon-Hills-093275?y=2006959929
house-for-rent-at-Tema-community12-102935?y=2006959929,8,8,,1200,$,month,https://meqasa.com/house-for-rent-at-Tema-community12-102935?y=2006959929
apartment-for-rent-at-Executive-2-bedrooms-apartment-to-let-at-Eastlegon--040958?y=2006959929,2,2,4,2000,GH₵,month,https://meqasa.com/apartment-for-rent-at-Executive-2-bedrooms-apartment-to-let-at-Eastlegon--040958?y=2006959929
apartment-for-rent-at-AIRPORT-102947?y=2006959929,3,2,,19250,GH₵,month,https://meqasa.com/apartment-for-rent-at-AIRPORT-102947?y=2006959929
"apartment-for-rent-at-Ashaley-Botwe,-Lakeside-Estate,-Accra-071451?y=2006959929",2,3,2,50,$,day,"https://meqasa.com/apartment-for-rent-at-Ashaley-Botwe,-Lakeside-Estate,-Accra-071451?y=2006959929"
house-for-rent-at-COMM-18-085129?y=2006959929,3,3,,2000,$,month,https://meqasa.com/house-for-rent-at-COMM-18-085129?y=2006959929
house-for-rent-at-Airport-Mirage-093081?y=2006959929,2,2,,3500,$,month,https://meqasa.com/house-for-rent-at-Airport-Mirage-093081?y=2006959929
warehouse-for-rent-at-Tema-076171?y=2006959929,,,"3,000 m2",42,$,month,https://meqasa.com/warehouse-for-rent-at-Tema-076171?y=2006959929
house-for-rent-at-Spintex-Road-082418?y=2006959929,4,4,,800,$,month,https://meqasa.com/house-for-rent-at-Spintex-Road-082418?y=2006959929
office-for-rent-at-East-Legon-103247?y=2006959929,7,7,60,152,$,month,https://meqasa.com/office-for-rent-at-East-Legon-103247?y=2006959929
house-for-rent-at-East-Legon-073683?y=2006959929,4,4,5,2000,$,month,https://meqasa.com/house-for-rent-at-East-Legon-073683?y=2006959929
apartment-for-rent-at-Cantonments--102805?y=2006959929,,,,2800,$,month,https://meqasa.com/apartment-for-rent-at-Cantonments--102805?y=2006959929
apartment-for-rent-at-Airport--102802?y=2006959929,3,3,,3500,$,month,https://meqasa.com/apartment-for-rent-at-Airport--102802?y=2006959929
apartment-for-rent-at-East-Legon-Hills-101808?y=2006959929,2,3,2,1550,$,month,https://meqasa.com/apartment-for-rent-at-East-Legon-Hills-101808?y=2006959929
townhouse-for-rent-at-Cantonments-098136?y=2006959929,3,4,1,2500,$,month,https://meqasa.com/townhouse-for-rent-at-Cantonments-098136?y=2006959929
apartment-for-rent-at-Prampram-101933?y=2006959929,2,2,,450,GH₵,month,https://meqasa.com/apartment-for-rent-at-Prampram-101933?y=2006959929
office-for-rent-at-Alhaji-Station-099223?y=2006959929,2,1,,500,GH₵,month,https://meqasa.com/office-for-rent-at-Alhaji-Station-099223?y=2006959929
apartment-for-rent-at-East-Legon-091843?y=2006959929,3,3,,900,$,month,https://meqasa.com/apartment-for-rent-at-East-Legon-091843?y=2006959929
house-for-rent-at-Community-22-100582?y=2006959929,5,6,,1500,$,month,https://meqasa.com/house-for-rent-at-Community-22-100582?y=2006959929
house-for-rent-at-East-Legon--094046?y=2006959929,3,3,,700,$,month,https://meqasa.com/house-for-rent-at-East-Legon--094046?y=2006959929
apartment-for-rent-at-Osu-094225?y=2006959929,3,3,180 m2,2400,$,month,https://meqasa.com/apartment-for-rent-at-Osu-094225?y=2006959929
apartment-for-rent-at-Cantonments-093460?y=2006959929,2,2,1,3400,$,month,https://meqasa.com/apartment-for-rent-at-Cantonments-093460?y=2006959929
house-for-rent-at-East-Legon-Hills-098577?y=2006959929,6,5,1,4200,GH₵,month,https://meqasa.com/house-for-rent-at-East-Legon-Hills-098577?y=2006959929
apartment-for-rent-at-Airport-Residential-Area-080134?y=2006959929,3,4,1,4800,$,month,https://meqasa.com/apartment-for-rent-at-Airport-Residential-Area-080134?y=2006959929
townhouse-for-rent-at-East-Legon-066504?y=2006959929,4,4,,2500,$,month,https://meqasa.com/townhouse-for-rent-at-East-Legon-066504?y=2006959929
land-for-rent-at-Nima-099029?y=2006959929,,,638 m2,3704,GH₵,month,https://meqasa.com/land-for-rent-at-Nima-099029?y=2006959929
2-bedroom-apartment-for-rent-in-Cantonments-unit-995,2,3,2,3300,$,month,https://meqasa.com/2-bedroom-apartment-for-rent-in-Cantonments-unit-995
1-bedroom-apartment-for-rent-in-Cantonments-unit-994,1,1,1,2300,$,month,https://meqasa.com/1-bedroom-apartment-for-rent-in-Cantonments-unit-994
townhouse-for-rent-at-Cantonments-103616?y=2006959929,4,4,,22000,GH₵,month,https://meqasa.com/townhouse-for-rent-at-Cantonments-103616?y=2006959929
house-for-rent-at-Adjiringanor-104427?y=2006959929,5,4,1,2500,$,month,https://meqasa.com/house-for-rent-at-Adjiringanor-104427?y=2006959929
townhouse-for-rent-at-RIDGE-103404?y=2006959929,5,5,,27500,GH₵,month,https://meqasa.com/townhouse-for-rent-at-RIDGE-103404?y=2006959929
apartment-for-rent-at-Spintex--(-studio-apartment-)-101533?y=2006959929,1,1,200 m2,1000,GH₵,week,https://meqasa.com/apartment-for-rent-at-Spintex--(-studio-apartment-)-101533?y=2006959929
house-for-rent-at-Trasacco-099541?y=2006959929,4,5,2,4500,$,month,https://meqasa.com/house-for-rent-at-Trasacco-099541?y=2006959929
apartment-for-rent-at-Cantonments-067174?y=2006959929,2,2,1,1800,$,"Price$1,800",https://meqasa.com/apartment-for-rent-at-Cantonments-067174?y=2006959929
apartment-for-rent-at-West-Legon-104999?y=2006959929,3,3,3,1600,$,month,https://meqasa.com/apartment-for-rent-at-West-Legon-104999?y=2006959929
apartment-for-rent-at-Cantonments-093451?y=2006959929,2,2,1,2500,$,month,https://meqasa.com/apartment-for-rent-at-Cantonments-093451?y=2006959929
apartment-for-rent-at-Airport-Residential-Area-102735?y=2006959929,3,3,2,3500,$,month,https://meqasa.com/apartment-for-rent-at-Airport-Residential-Area-102735?y=2006959929
house-for-rent-at-Adenta-105095?y=2006959929,7,8,,3000,$,month,https://meqasa.com/house-for-rent-at-Adenta-105095?y=2006959929
apartment-for-rent-at-Lagos-Avenue-040237?y=2006959929,1,1,"1,000 m2",1300,$,month,https://meqasa.com/apartment-for-rent-at-Lagos-Avenue-040237?y=2006959929
house-for-rent-at-East-Legon--099843?y=2006959929,5,6,1,1800,$,month,https://meqasa.com/house-for-rent-at-East-Legon--099843?y=2006959929
house-for-rent-at-Osu-101329?y=2006959929,3,2,,4000,$,month,https://meqasa.com/house-for-rent-at-Osu-101329?y=2006959929
house-for-rent-at-Amrahia-080665?y=2006959929,5,5,,,na,request],https://meqasa.com/house-for-rent-at-Amrahia-080665?y=2006959929
apartment-for-rent-at-Roman-Ridge-081250?y=2006959929,3,3,,1200,$,month,https://meqasa.com/apartment-for-rent-at-Roman-Ridge-081250?y=2006959929
house-for-rent-at-Oyarifa--103549?y=2006959929,3,3,2,1500,GH₵,month,https://meqasa.com/house-for-rent-at-Oyarifa--103549?y=2006959929
